VARIABLES = "X", "Y", "Speed", "P", "M","H", "S", "Xvel", "Yvel","F0", "G0", "rho", "RES0", "RES1", "RES2", "RES3" 
ZONE T = "CELL CENTERS AT TIMESTEP 0 ", I = 128 , J = 64, F=POINT 

1.3987 -0.0924232 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -18.9881 -10647 837.063 -5.87658e+006
1.4434 -0.0989637 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -18.7614 -10519.9 809.394 -5.80642e+006
1.49115 -0.105822 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -18.3626 -10296.2 779.142 -5.68299e+006
1.54213 -0.113022 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -18.3963 -10315.2 766.3 -5.69345e+006
1.59647 -0.120587 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -18.1064 -10152.6 744.929 -5.6037e+006
1.65437 -0.128537 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.9786 -10080.9 727.732 -5.56416e+006
1.716 -0.136902 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.9813 -10082.4 721.435 -5.56498e+006
1.78153 -0.145712 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.5011 -9813.17 695.545 -5.41636e+006
1.8512 -0.154988 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.7522 -9953.98 697.278 -5.49408e+006
1.92523 -0.16476 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.4146 -9764.72 679.433 -5.38962e+006
2.00385 -0.175065 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.4108 -9762.57 674.053 -5.38843e+006
2.0873 -0.185933 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.3211 -9712.25 666.554 -5.36066e+006
2.17585 -0.197398 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.1344 -9607.6 655.983 -5.3029e+006
2.2698 -0.209498 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.3615 -9734.92 660.369 -5.37317e+006
2.36942 -0.22227 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.0554 -9563.28 646.531 -5.27844e+006
2.47507 -0.235757 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.075 -9574.27 644.197 -5.2845e+006
2.58708 -0.250003 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.0469 -9558.52 640.931 -5.27581e+006
2.70578 -0.265053 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.0623 -9567.18 639.407 -5.28059e+006
2.83155 -0.280955 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9579 -9508.6 633.899 -5.24826e+006
2.96483 -0.297763 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9384 -9497.69 631.539 -5.24223e+006
3.10608 -0.315532 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9087 -9481.02 628.876 -5.23303e+006
3.25573 -0.334317 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9024 -9477.48 627.09 -5.23108e+006
3.41423 -0.354183 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8967 -9474.3 626.405 -5.22932e+006
3.58215 -0.375195 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8337 -9438.97 622.631 -5.20982e+006
3.76005 -0.39742 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.859 -9453.19 622.895 -5.21767e+006
3.94853 -0.420932 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8368 -9440.73 620.654 -5.2108e+006
4.14818 -0.445815 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.7937 -9416.54 619.301 -5.19745e+006
4.35965 -0.47215 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8017 -9421.04 618.556 -5.19993e+006
4.58375 -0.500025 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8071 -9424.04 618.06 -5.20158e+006
4.82118 -0.529537 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8048 -9422.77 617.72 -5.20088e+006
5.07273 -0.56079 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.7646 -9400.22 615.927 -5.18844e+006
5.33933 -0.593892 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.7479 -9390.86 614.992 -5.18327e+006
5.6219 -0.628958 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.7887 -9413.77 615.973 -5.19591e+006
5.92143 -0.666108 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.7502 -9392.15 614.346 -5.18398e+006
6.23897 -0.705483 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.7665 -9401.29 614.847 -5.18903e+006
6.57572 -0.747227 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.7617 -9398.61 614.459 -5.18755e+006
6.93295 -0.791497 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.7746 -9405.86 614.634 -5.19155e+006
