VARIABLES = "X", "Y", "Speed", "P", "M","H", "S", "Xvel", "Yvel","F0", "G0", "rho", "RES0", "RES1", "RES2", "RES3" 
ZONE T = "CELL CENTERS AT TIMESTEP 0 ", I = 129 , J = 64, F=POINT 

0.78862 0.0384343 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 361.947 191468 -111600 1.13656e+08
0.80835 0.0358133 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 361.588 190995 -112492 1.13543e+08
0.827333 0.0331972 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 361.228 190533 -113303 1.1343e+08
0.84552 0.030598 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 360.796 190044 -114217 1.13294e+08
0.862875 0.028027 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 360.313 189541 -115152 1.13143e+08
0.879352 0.0254957 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 359.76 188990 -116170 1.12969e+08
0.894907 0.0230158 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 359.057 188358 -117402 1.12749e+08
0.90951 0.0205985 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 358.304 187733 -118613 1.12512e+08
0.923125 0.0182554 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 357.419 187029 -119912 1.12234e+08
0.935717 0.0159972 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 356.298 186212 -121476 1.11882e+08
0.947258 0.0138346 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 354.843 185207 -123387 1.11425e+08
0.957718 0.0117775 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 353.167 184110 -125349 1.10899e+08
0.96707 0.00983563 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 350.888 182671 -127840 1.10183e+08
0.97529 0.00801807 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 347.783 180801 -130872 1.09208e+08
0.982363 0.00633322 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 343.317 178186 -134849 1.07806e+08
0.988262 0.00478883 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 336.821 174419 -139901 1.05766e+08
0.99297 0.00339252 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 326.453 168562 -146576 1.0251e+08
0.996465 0.00215519 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 308.884 158631 -155823 9.69935e+07
0.998715 0.00110137 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -72.566 -54926.3 -38623.4 -2.27866e+07
0.999675 0.0003124 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -155.08 -101235 -309276 -4.8697e+07
0.999675 -0.000312425 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -354.581 -212932 -125260 -1.11343e+08
1.00073 -0.00093395 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -199.501 -111697 16573.8 -6.26459e+07
1.00004 -0.00302688 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -5.65691 -3167.2 9590.7 -1.77634e+06
0.998032 -0.0054699 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 42.1336 23589.8 -6422.06 1.32305e+07
0.994732 -0.00812565 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 36.4764 20422.4 -10340.6 1.1454e+07
0.99017 -0.0109399 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 29.1789 16336.7 -11535.6 9.16256e+06
0.984382 -0.0138875 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 23.0309 12894.6 -11413.2 7.23201e+06
0.977402 -0.0169527 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 18.3636 10281.5 -10881.4 5.76642e+06
0.969257 -0.0201225 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 14.7413 8253.38 -10116.9 4.62896e+06
0.959965 -0.0233853 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 12.0261 6733.17 -9387.1 3.77634e+06
0.949553 -0.0267298 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 9.84778 5513.59 -8602.75 3.09233e+06
0.938045 -0.0301435 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 7.9911 4474.07 -7686.14 2.50931e+06
0.925473 -0.0336135 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 6.73141 3768.79 -7117.64 2.11375e+06
0.911868 -0.037127 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 5.64709 3161.7 -6543.52 1.77326e+06
0.89726 -0.040671 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 4.64389 2600.02 -5812.8 1.45824e+06
0.881685 -0.044232 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 3.88636 2175.9 -5265 1.22037e+06
0.86518 -0.047796 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 3.34164 1870.92 -4914.71 1.04932e+06
0.847788 -0.0513492 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 2.80463 1570.26 -4454.15 880691
0.829547 -0.054878 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 2.27933 1276.16 -3901.22 715740
0.8105 -0.0583685 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 1.90505 1066.6 -3521.78 598211
0.790695 -0.061807 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 1.54917 867.353 -3086.4 486460
0.77018 -0.0651795 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 1.26574 708.662 -2722.62 397457
0.749003 -0.068472 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 1.05899 592.908 -2501.42 332536
0.727215 -0.0716708 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.793056 444.017 -2019.61 249030
0.704868 -0.0747623 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.628338 351.794 -1751.32 197306
